Microseconds: 14
------------ DISCOVERED CAN IDS --------------
000006480 -  ID   B0 B1 B2 B3 B4 B5 B6 B7 Upd -
000011126 - 0x9013417a 00 0e a9 0e ea bd 00 00  *  -
000011141 - 0x9033448c b8 88 00 00 08 36 00 00  *  -
000011143 - 0x9023417d 02 70 99 14 00 a8 b0 0a  *  -
000011144 - 0x9033445f 91 0e a9 0e ea bd 00 00  *  -
000011146 - 0x9013417e 00 0e a9 0e ea bd 00 00  *  -
000011159 - 0x903434b5 00 00 00 00 00 00 00 00  *  -
000011161 - 0x90334480 b8 88 00 00 44 36 00 00  *  -
000011162 - 0x90234171 02 70 99 14 00 0c bc 0a  *  -
000011165 - 0x90134172 00 0e a9 0e ea bd 00 00  *  -
000011181 - 0x903344a4 00 00 7b fc 00 00 ba 00  *  -
000011183 - 0x90334485 b8 88 00 00 83 36 00 00  *  -
000011184 - 0x90134177 00 88 00 00 83 36 00 00  *  -
000011185 - 0x90334458 91 0e a9 0e e5 bd 00 00  *  -
000011187 - 0x90234176 02 70 99 14 00 02 c8 0a  *  -
000011201 - 0x90334489 b8 88 00 00 bf 36 00 00  *  -
000011203 - 0x9023417a 02 70 99 14 00 66 d3 0a  *  -
000011205 - 0x9033445c 91 0e a9 0e ea bd 00 00  *  -
000011207 - 0x9013417b 00 0e a9 0e ea bd 00 00  *  -
000011221 - 0x9033448d b8 88 00 00 fb 36 00 00  *  -
000011222 - 0x9023417e 02 70 99 14 00 ca de 0a  *  -
000011224 - 0x90334450 91 0e a9 0e ea bd 00 00  *  -
000011225 - 0x9013417f 00 0e a9 0e ea bd 00 00  *  -
000011241 - 0x90334481 b8 88 00 00 37 37 00 00  *  -
000011243 - 0x90134173 00 88 00 00 37 37 00 00  *  -
000011244 - 0x90334454 91 0e a9 0e ea bd 00 00  *  -
000011246 - 0x90234172 02 70 99 14 00 2e ea 0a  *  -
000011259 - 0x903434b6 00 00 00 00 00 00 00 00  *  -
000011261 - 0x90334485 b8 88 00 00 70 37 00 00  *  -
000011262 - 0x90234176 02 70 99 14 00 00 f5 0a  *  -
000011264 - 0x90334458 94 0e a6 0e 00 be 00 00  *  -
000011265 - 0x90134177 00 0e a6 0e 00 be 00 00  *  -
000011281 - 0x903344a9 00 00 17 fc 00 00 25 00  *  -
000011282 - 0x9033448a b8 88 00 00 af 37 00 00  *  -
000011284 - 0x9013417c 00 88 00 00 af 37 00 00  *  -
000011285 - 0x9033442e 00 00 a2 0f 00 00 00 00  *  -
000011287 - 0x9033447f c9 ff ff ff a6 ff ff ff  *  -
000011288 - 0x903344e1 2e 33 0d 13 04 09 18 00  *  -
000011290 - 0x9023417b 02 70 99 14 00 f6 00 0b  *  -
000011301 - 0x90334482 b8 88 00 00 e8 37 00 00  *  -
000011302 - 0x90234173 02 70 99 14 00 c8 0b 0b  *  -
000011303 - 0x90134174 00 70 99 14 00 c8 0b 0b  *  -
000011305 - 0x90334455 94 0e a6 0e 00 be 00 00  *  -
000011321 - 0x90334486 b8 88 00 00 24 38 00 00  *  -
000011322 - 0x90234177 02 70 99 14 00 2c 17 0b  *  -
000011324 - 0x90334459 94 0e a6 0e 00 be 00 00  *  -
000011325 - 0x90134178 00 0e a6 0e 00 be 00 00  *  -
000011341 - 0x9033448a b8 88 00 00 60 38 00 00  *  -
000011342 - 0x9023417b 02 70 99 14 00 90 22 0b  *  -
000011344 - 0x9033445d 94 0e a6 0e 00 be 00 00  *  -
000011346 - 0x9013417c 00 0e a6 0e 00 be 00 00  *  -
000011358 - 0x903434b7 00 00 00 00 00 00 00 00  *  -
000011360 - 0x9033448e b8 88 00 00 9f 38 00 00  *  -
000011362 - 0x9023417f 02 70 99 14 00 86 2e 0b  *  -
000011363 - 0x90134170 00 70 99 14 00 86 2e 0b  *  -
000011365 - 0x90334451 94 0e a6 0e 00 be 00 00  *  -
000011381 - 0x903344a2 00 00 b3 fb 00 00 89 00  *  -
000011382 - 0x90334483 b8 88 00 00 db 38 00 00  *  -
000011384 - 0x90134175 00 88 00 00 db 38 00 00  *  -
000011385 - 0x90334456 94 0e a6 0e 00 be 00 00  *  -
000011387 - 0x90234174 02 70 99 14 00 ea 39 0b  *  -
000011400 - 0x90334487 b8 88 00 00 14 39 00 00  *  -
000011402 - 0x90234178 02 70 99 14 00 bc 44 0b  *  -
000011403 - 0x9033445a 94 0e a6 0e 00 be 00 00  *  -
000011405 - 0x90134179 00 0e a6 0e 00 be 00 00  *  -
000011420 - 0x9033448b b8 88 00 00 53 39 00 00  *  -
000011422 - 0x9023417c 02 70 99 14 00 b2 50 0b  *  -
000011424 - 0x9033445e 94 0e a6 0e 00 be 00 00  *  -
000011426 - 0x9013417d 00 0e a6 0e 00 be 00 00  *  -
000011441 - 0x9033448f b8 88 00 00 8c 39 00 00  *  -
000011443 - 0x90234170 02 70 99 14 00 84 5b 0b  *  -
000011445 - 0x90334452 94 0e a6 0e 00 be 00 00  *  -
000011447 - 0x90134171 00 0e a6 0e 00 be 00 00  *  -
000011458 - 0x903434b8 00 00 00 00 00 00 00 00  *  -
000011460 - 0x90334483 b8 88 00 00 c8 39 00 00  *  -
000011462 - 0x90234174 02 70 99 14 00 e8 66 0b  *  -
000011465 - 0x90134175 00 0e a6 0e 00 be 00 00  *  -
000011480 - 0x903344a7 00 00 4f fb 00 00 ed 00  *  -
000011482 - 0x90334488 b8 88 00 00 07 3a 00 00  *  -
000011484 - 0x9013417a 00 88 00 00 07 3a 00 00  *  -
000011486 - 0x9033445b 94 0e a6 0e 00 be 00 00  *  -
000011488 - 0x90234179 02 70 99 14 00 de 72 0b  *  -
000011500 - 0x9033448c b8 88 00 00 40 3a 00 00  *  -
000011502 - 0x9023417d 02 70 99 14 00 b0 7d 0b  *  -
000011504 - 0x9033445f 94 0e a8 0e 14 be 00 00  *  -
000011506 - 0x9013417e 00 0e a8 0e 14 be 00 00  *  -
000011520 - 0x90334480 b8 88 00 00 7f 3a 00 00  *  -
000011522 - 0x90234171 02 70 99 14 00 a6 89 0b  *  -
000011524 - 0x90334453 94 0e a8 0e 14 be 00 00  *  -
000011526 - 0x90134172 00 0e a8 0e 14 be 00 00  *  -
000011532 - 0x90334475 c4 ff ff ff a6 ff ff ff  *  -
000011540 - 0x90334487 b8 88 00 00 b8 3a 00 00  *  -
000011542 - 0x90234178 02 70 99 14 00 78 94 0b  *  -
000011545 - 0x9033445a 94 0e a8 0e 14 be 00 00  *  -
000011547 - 0x90134179 00 0e a8 0e 14 be 00 00  *  -
000011558 - 0x903434b9 00 00 00 00 00 00 00 00  *  -
000011560 - 0x9033448b b8 88 00 00 f4 3a 00 00  *  -
000011562 - 0x9023417c 02 70 99 14 00 dc 9f 0b  *  -
000011563 - 0x9033445e 94 0e a8 0e 14 be 00 00  *  -
000011565 - 0x9013417d 00 0e a8 0e 14 be 00 00  *  -
000011580 - 0x903344af 00 00 eb fa 00 00 58 00  *  -
000011582 - 0x90334480 b8 88 00 00 33 3b 00 00  *  -
000011583 - 0x90134172 00 88 00 00 33 3b 00 00  *  -
000011586 - 0x90234171 02 70 99 14 00 d2 ab 0b  *  -
000011600 - 0x90334484 b8 88 00 00 6f 3b 00 00  *  -
000011602 - 0x90234175 02 70 99 14 00 36 b7 0b  *  -
000011603 - 0x90334457 94 0e a8 0e 14 be 00 00  *  -
000011605 - 0x90134176 00 0e a8 0e 14 be 00 00  *  -
000011620 - 0x90334488 b8 88 00 00 a8 3b 00 00  *  -
000011622 - 0x90234179 02 70 99 14 00 08 c2 0b  *  -
000011623 - 0x9033445b 94 0e a8 0e 14 be 00 00  *  -
000011625 - 0x9013417a 00 0e a8 0e 14 be 00 00  *  -
000011640 - 0x9033448c b8 88 00 00 e4 3b 00 00  *  -
000011641 - 0x9023417d 02 70 99 14 00 6c cd 0b  *  -
000011658 - 0x903434ba 00 00 00 00 00 00 00 00  *  -
000011660 - 0x90334480 b8 88 00 00 23 3c 00 00  *  -
000011661 - 0x90234171 02 70 99 14 00 62 d9 0b  *  -
000011663 - 0x90134172 00 70 99 14 00 62 d9 0b  *  -
000011680 - 0x903344a4 00 00 87 fa 00 00 bc 00  *  -
000011681 - 0x90334485 b8 88 00 00 5c 3c 00 00  *  -
000011683 - 0x90134177 00 88 00 00 5c 3c 00 00  *  -
000011685 - 0x90334458 94 0e a8 0e 14 be 00 00  *  -
000011686 - 0x90234176 02 70 99 14 00 34 e4 0b  *  -
000011700 - 0x90334489 b8 88 00 00 98 3c 00 00  *  -
000011701 - 0x9023417a 02 70 99 14 00 98 ef 0b  *  -
000011703 - 0x9033445c 94 0e a8 0e 14 be 00 00  *  -
000011705 - 0x9013417b 00 0e a8 0e 14 be 00 00  *  -
000011720 - 0x9033448d b8 88 00 00 d4 3c 00 00  *  -
000011721 - 0x9023417e 02 70 99 14 00 fc fa 0b  *  -
000011723 - 0x90334450 94 0e a8 0e 14 be 00 00  *  -
000011724 - 0x9013417f 00 0e a8 0e 14 be 00 00  *  -
000011739 - 0x90334481 b8 88 00 00 13 3d 00 00  *  -
000011741 - 0x90234172 02 70 99 14 00 f2 06 0c  *  -
000011742 - 0x90134173 00 70 99 14 00 f2 06 0c  *  -
000011744 - 0x90334454 94 0e a8 0e 14 be 00 00  *  -
000011758 - 0x903434bb 00 00 00 00 00 00 00 00  *  -
000011760 - 0x90334485 b8 88 00 00 4f 3d 00 00  *  -
000011761 - 0x90134177 00 88 00 00 4f 3d 00 00  *  -
000011763 - 0x90334458 94 0e a8 0e 24 be 00 00  *  -
000011765 - 0x90234176 02 70 99 14 00 5a 12 0c  *  -
000011780 - 0x903344a9 00 00 23 fa 00 00 27 00  *  -
000011781 - 0x9023417b 02 70 99 14 00 c2 1d 0c  *  -
000011783 - 0x9013417c 00 70 99 14 00 c2 1d 0c  *  -
000011785 - 0x9033447f c2 ff ff ff ae ff ff ff  *  -
000011786 - 0x90334490 b6 07 31 0b 45 00 05 00  *  -
000011788 - 0x9033448a b8 88 00 00 8b 3d 00 00  *  -
000011799 - 0x90334481 b8 88 00 00 c7 3d 00 00  *  -
000011801 - 0x90234172 02 70 99 14 00 2a 29 0c  *  -
000011802 - 0x90134173 00 70 99 14 00 2a 29 0c  *  -
000011804 - 0x90334454 94 0e a8 0e 24 be 00 00  *  -
000011820 - 0x90334485 b8 88 00 00 00 3e 00 00  *  -
000011821 - 0x90234176 02 70 99 14 00 00 34 0c  *  -
000011823 - 0x90134177 00 0e a8 0e 24 be 00 00  *  -
000011840 - 0x90334489 b8 88 00 00 3c 3e 00 00  *  -
000011841 - 0x9023417a 02 70 99 14 00 68 3f 0c  *  -
000011843 - 0x9033445c 94 0e a8 0e 24 be 00 00  *  -
000011844 - 0x9013417b 00 0e a8 0e 24 be 00 00  *  -
000011858 - 0x903434bc 00 00 00 00 00 00 00 00  *  -
000011860 - 0x9033448d b8 88 00 00 7b 3e 00 00  *  -
000011861 - 0x9013417f 00 88 00 00 7b 3e 00 00  *  -
000011863 - 0x90334450 94 0e a8 0e 24 be 00 00  *  -
000011865 - 0x9023417e 02 70 99 14 00 62 4b 0c  *  -
000011879 - 0x903344a1 00 00 bf f9 00 00 8b 00  *  -
000011881 - 0x90334482 b8 88 00 00 b4 3e 00 00  *  -
000011882 - 0x90134174 00 88 00 00 b4 3e 00 00  *  -
